ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0000950103-22-016932,2054028,Class A common stock,,859315.0,,,I,,Potomac Investments L.P. - Fund 1,F3,30-SEP-2022,02-JUN-2022,,,0,,,4,1535527,"CrowdStrike Holdings, Inc.",CRWD,,0001535527,CRWD,,,2022-09-30
0000950103-22-016932,2054029,Class A common stock,,29038.0,,,I,,"The Potomac Trust, dated 9/21/2001",F4,30-SEP-2022,02-JUN-2022,,,0,,,4,1535527,"CrowdStrike Holdings, Inc.",CRWD,,0001535527,CRWD,,,2022-09-30
0001567619-22-018008,2053942,COMMON STOCK,,8405160.0,,,I,F2,BY BELDAR ENTERPRISES,,30-SEP-2022,29-SEP-2022,,,0,,,4,1802974,"Mission Produce, Inc.",AVO,,0001802974,AVO,,,2022-09-30
0000899243-22-032332,2053954,Common Stock,,40416.0,F3,,D,,,,30-SEP-2022,05-MAR-2022,08-MAR-2022,,0,,,4/A,1724965,TALOS ENERGY INC.,TALO,,0001724965,TALO,,,2022-09-30
0001570585-22-000267,2053987,Class C Ordinary Shares,,32.0,F2,,I,,By Spouse,,30-SEP-2022,30-SEP-2022,,,0,,,4,1570585,Liberty Global plc,LBTY,"The trading symbols for the Issuer's classes of ordinary shares are LBTYA, LBTYB, and LBTYK.",0001570585,LBTYK,,,2022-09-30
0000899243-22-032330,2053896,Common Stock,,776367.0,F3,,D,,,,30-SEP-2022,05-MAR-2022,08-MAR-2022,,0,,,4/A,1724965,TALOS ENERGY INC.,TALO,President & Chief Executive Officer,0001724965,TALO,,,2022-09-30
0000899243-22-032324,2053989,Common Stock,,237296.0,F3,,D,,,,30-SEP-2022,05-MAR-2022,08-MAR-2022,,0,,,4/A,1724965,TALOS ENERGY INC.,TALO,"Executive Vice President, General Counsel & Secretary",0001724965,TALO,,,2022-09-30
0000899243-22-032323,2054000,Common Stock,,263414.0,F3,,D,,,,30-SEP-2022,05-MAR-2022,08-MAR-2022,,0,,,4/A,1724965,TALOS ENERGY INC.,TALO,Executive Vice President of Exploration,0001724965,TALO,,,2022-09-30
0000899243-22-032319,2053932,Common Stock,,265411.0,F3,,D,,,,30-SEP-2022,05-MAR-2022,08-MAR-2022,,0,,,4/A,1724965,TALOS ENERGY INC.,TALO,Executive Vice President and Chief Operating Officer,0001724965,TALO,,,2022-09-30
0000899243-22-032315,2054025,Common Stock,,283483.0,F3,,D,,,,30-SEP-2022,05-MAR-2022,08-MAR-2022,,0,,,4/A,1724965,TALOS ENERGY INC.,TALO,Executive Vice President & Chief Financial Officer,0001724965,TALO,,,2022-09-30
0001225208-22-010520,2054019,Common Stock,,12836.1,F1,,D,,,,30-SEP-2022,01-JUN-2020,05-JUN-2020,0.0,,,,3/A,1350593,"Mueller Water Products, Inc.",MWA,floydpoa.txt,0001350593,MWA,,,2022-09-30
0000899243-22-032311,2054075,Common Stock,,564902.0,F4,,D,F3,,,30-SEP-2022,28-SEP-2022,,,0,,,4,1831096,"Great Elm Group, Inc.",GEG,Mr. Reese is a director and Executive Chairman of the Issuer.,0001831096,GEGGL,,,2022-09-30
0000096021-22-000191,2054015,Common Stock,,17360.22,,,D,,,,30-SEP-2022,26-SEP-2022,,0.0,,,,3,96021,SYSCO CORP,SYY,EXHIBIT LIST: EX-24 Stone POA,0000096021,SYY,,,2022-09-30
0001225208-22-010518,2053926,Common,,48800.0,,,I,,,,30-SEP-2022,01-JAN-0001,,,,,,4,1362004,"ICF International, Inc.",ICFI,,0001362004,ICFI,,,2022-09-30
0001225208-22-010518,2053925,Common,,716.0,,,I,,John M. Wasson GRAT,,30-SEP-2022,01-JAN-0001,,,,,,4,1362004,"ICF International, Inc.",ICFI,,0001362004,ICFI,,,2022-09-30
0001225208-22-010518,2053924,Common,,197.0,,,D,,By Spouse,,30-SEP-2022,01-JAN-0001,,,,,,4,1362004,"ICF International, Inc.",ICFI,,0001362004,ICFI,,,2022-09-30
0001560043-22-000010,2053943,CFFN common stock,,3833.0,,,I,,ESOP,,30-SEP-2022,30-SEP-2022,,,0,,,4,1490906,"Capitol Federal Financial, Inc.",CFFN,,0001490906,CFFN,,,2022-09-30
0001214816-22-000039,2053909,Common Shares,,12963.0,,,D,,,,30-SEP-2022,21-SEP-2022,,0.0,,,,3,1214816,AXIS CAPITAL HOLDINGS LTD,AXS,Exhibit List: Exhibit 24  Power of Attorney,0001214816,AXS-PE,,,2022-09-30
0001214659-22-011765,2053961,Common Stock,,23469.0,,,I,,By Gould Shenfeld Family Foundation,F1,30-SEP-2022,29-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011765,2053962,Common Stock,,33259.0,,,I,,By Gould Family Trust,F2,30-SEP-2022,29-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011765,2053963,Common Stock,,464318.0,,,D,,,,30-SEP-2022,29-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001567619-22-018005,2054017,Class A Common Stock,,161887.0,,,D,,401(k),,30-SEP-2022,28-SEP-2022,,,0,,,4,928658,"COVENANT LOGISTICS GROUP, INC.",CVLG,,0000928658,CVLG,,,2022-09-30
0001567619-22-018005,2054018,Class A Common Stock,,54705.0,,,I,F4,,,30-SEP-2022,28-SEP-2022,,,0,,,4,928658,"COVENANT LOGISTICS GROUP, INC.",CVLG,,0000928658,CVLG,,,2022-09-30
0001214659-22-011763,2053950,Common Stock,,425094.59,F4,,D,,,,30-SEP-2022,29-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011763,2053948,Common Stock,,23469.0,,,I,,By Gould Shenfeld Family Foundation,F2,30-SEP-2022,29-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011763,2053947,Common Stock,,33259.0,,,I,,By Gould Family Trust,F1,30-SEP-2022,29-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011763,2053949,Common Stock,,20874.0,,,I,,By BRT Apartments Corp. Pension Trust,F3,30-SEP-2022,29-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001225208-22-010515,2053980,Common,,197.0,F2,,D,,By Spouse,,30-SEP-2022,01-JAN-0001,,,,,,4,1362004,"ICF International, Inc.",ICFI,,0001362004,ICFI,,,2022-09-30
0001225208-22-010515,2053981,Common,,716.0,,,I,,,,30-SEP-2022,01-JAN-0001,,,,,,4,1362004,"ICF International, Inc.",ICFI,,0001362004,ICFI,,,2022-09-30
0001214659-22-011761,2053973,Common Stock,,23469.0,,,I,,By Gould Shenfeld Family Foundation,F1,30-SEP-2022,28-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011761,2053975,Common Stock,,464318.0,,,D,,,,30-SEP-2022,28-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011761,2053974,Common Stock,,33259.0,,,I,,By Gould Family Trust,F2,30-SEP-2022,28-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001714899-22-000133,2053960,Common Stock,,78848.0,,,I,,The Tessier-Lavigne/Hynes Irrevocable Trust 3,F7,30-SEP-2022,28-SEP-2022,,,0,,,4,1714899,Denali Therapeutics Inc.,DNLI,,0001714899,DNLI,,,2022-09-30
0001714899-22-000133,2053959,Common Stock,,79173.0,,,I,,The Tessier-Lavigne/Hynes Irrevocable Trust 2,F6,30-SEP-2022,28-SEP-2022,,,0,,,4,1714899,Denali Therapeutics Inc.,DNLI,,0001714899,DNLI,,,2022-09-30
0001714899-22-000133,2053958,Common Stock,,78848.0,,,I,,The Tessier-Lavigne/Hynes Irrevocable Trust 1,F5,30-SEP-2022,28-SEP-2022,,,0,,,4,1714899,Denali Therapeutics Inc.,DNLI,,0001714899,DNLI,,,2022-09-30
0001214659-22-011760,2054065,Common Stock,,20874.0,,,I,,By BRT Apartments Corp. Pension Trust,F3,30-SEP-2022,28-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011760,2054064,Common Stock,,23469.0,,,I,,By Gould Shenfeld Family Foundation,F2,30-SEP-2022,28-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011760,2054066,Common Stock,,425094.59,F4,,D,,,,30-SEP-2022,28-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001214659-22-011760,2054063,Common Stock,,33259.0,,,I,,By Gould Family Trust,F1,30-SEP-2022,28-SEP-2022,,,,,,4,14846,BRT Apartments Corp.,BRT,,0000014846,BRT,,,2022-09-30
0001628280-22-025809,2054057,Common Stock,,8652.0,,,D,,,,30-SEP-2022,28-SEP-2022,,,0,,,4,1551306,"Progyny, Inc.",PGNY,,0001551306,PGNY,,,2022-09-30
0001628280-22-025809,2054056,Common Stock,,122493.0,,,I,,See footnote,F7,30-SEP-2022,28-SEP-2022,,,0,,,4,1551306,"Progyny, Inc.",PGNY,,0001551306,PGNY,,,2022-09-30
0001437749-22-023317,2053952,"Class A Common Stock, par value $0.01 per share",,6024.0,,,D,,,,30-SEP-2022,28-SEP-2022,,,,,,4,1690680,"NEWMARK GROUP, INC.",NMRK,,0001690680,NMRK,,,2022-09-30
0001628280-22-025806,2053986,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as a director of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 Robert Hugin POA",0001935979,BHVN,,,2022-09-30
0001628280-22-025805,2053920,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as a director of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 Michael Heffernan POA",0001935979,BHVN,,,2022-09-30
0001805284-22-000227,2053893,Class A common stock,,204000.0,,,I,,By trust,F4,30-SEP-2022,29-SEP-2022,,,0,,,4,1805284,"Rocket Companies, Inc.",RKT,,0001805284,RKT,,,2022-09-30
0001628280-22-025804,2054051,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as a director of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 Gregory Bailey POA",0001935979,BHVN,,,2022-09-30
0001628280-22-025803,2054083,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as a director of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 Mehta Kishan POA",0001935979,BHVN,,,2022-09-30
0001209191-22-051647,2054022,Common Stock,,100.0,,,I,,by ESOP,,30-SEP-2022,21-SEP-2022,,0.0,,,,3,1850398,"TC Bancshares, Inc.",TCBC,,0001850398,TCBC,,,2022-09-30
0001209191-22-051647,2054021,Common Stock,,500.0,,,D,,by Children,,30-SEP-2022,21-SEP-2022,,0.0,,,,3,1850398,"TC Bancshares, Inc.",TCBC,,0001850398,TCBC,,,2022-09-30
0001209191-22-051647,2054023,Common Stock,,404.04,,,I,,,,30-SEP-2022,21-SEP-2022,,0.0,,,,3,1850398,"TC Bancshares, Inc.",TCBC,,0001850398,TCBC,,,2022-09-30
0001628280-22-025802,2053979,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as Senior Vice President of Clinical Operations of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 Kimberly Gentile POA",0001935979,BHVN,,,2022-09-30
0001628280-22-025801,2053956,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as a director of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 John Childs POA",0001935979,BHVN,,,2022-09-30
0001437749-22-023314,2053923,"Class A Common Stock, par value $0.01 per share",,8757.0,,,D,,,,30-SEP-2022,28-SEP-2022,,,,,,4,1690680,"NEWMARK GROUP, INC.",NMRK,,0001690680,NMRK,,,2022-09-30
0001628280-22-025799,2054062,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as a director of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 Julia Gregory POA",0001935979,BHVN,,,2022-09-30
0001628280-22-025798,2054016,No Securities Owned,,0.0,,,D,,,,30-SEP-2022,28-SEP-2022,,0.0,,,,3,1935979,Biohaven Ltd.,BHVN,"On September 28, 2022, the Reporting Person was appointed as a director of the Issuer. Beginning on September 23, 2022, Issuer common shares traded on a ""when-issued"" basis on the New York Stock Exchange under the symbol ""BHVN WI"" and under ""Biohaven Ltd."" When-issued trading of SpinCo common shares will continue until the distribution occurs. SpinCo common shares are expected to begin ""regular-way"" trading on the NYSE under the symbol ""BHVN"" on the first trading day following the distribution date. EXHIBIT LIST: EX-24 Irina Antonijevic POA",0001935979,BHVN,,,2022-09-30
0001214659-22-011756,2054050,Common Stock,,325000.0,,,I,,,,30-SEP-2022,29-SEP-2022,,,,,,4,1677077,"Alzamend Neuro, Inc.",ALZN,,0001677077,ALZN,,,2022-09-30
0001214659-22-011756,2054049,Common Stock,,10000000.0,,,I,,By Ault Alpha LP,F5,30-SEP-2022,29-SEP-2022,,,,,,4,1677077,"Alzamend Neuro, Inc.",ALZN,,0001677077,ALZN,,,2022-09-30
0001214659-22-011756,2054047,Common Stock,,2500000.0,,,D,,"By Ault Life Sciences, Inc.",F3,30-SEP-2022,29-SEP-2022,,,,,,4,1677077,"Alzamend Neuro, Inc.",ALZN,,0001677077,ALZN,,,2022-09-30
0001214659-22-011756,2054048,Common Stock,,14942984.0,,,I,,"By Ault Life Sciences Fund, LLC",F4,30-SEP-2022,29-SEP-2022,,,,,,4,1677077,"Alzamend Neuro, Inc.",ALZN,,0001677077,ALZN,,,2022-09-30
0001213900-22-060701,2053895,Class A Common Stock,,914143.0,,,I,,By Sponsor,F2,30-SEP-2022,15-JUN-2022,,,0,,,4,1698113,"PARTS iD, Inc.",ID,Exhibit 24.1 - Power of Attorney,0001698113,,,,2022-09-30
0001437749-22-023311,2054091,Common Stock,,1825479.0,,,I,,See Footnote,F3,30-SEP-2022,29-SEP-2022,,,,,,4,1356115,NEXPOINT DIVERSIFIED REAL ESTATE TRUST,NXDT,President,0001356115,NXDT-PA,,,2022-09-30
0001437749-22-023311,2054093,Common Stock,,509462.0,,,I,,By employee benefit plan,,30-SEP-2022,29-SEP-2022,,,,,,4,1356115,NEXPOINT DIVERSIFIED REAL ESTATE TRUST,NXDT,President,0001356115,NXDT-PA,,,2022-09-30
0001437749-22-023311,2054094,Common Stock,,60539.85,,,I,,,,30-SEP-2022,29-SEP-2022,,,,,,4,1356115,NEXPOINT DIVERSIFIED REAL ESTATE TRUST,NXDT,President,0001356115,NXDT-PA,,,2022-09-30
0001437749-22-023311,2054090,Common Stock,,86110.49,,,D,,See Footnote,F2,30-SEP-2022,29-SEP-2022,,,,,,4,1356115,NEXPOINT DIVERSIFIED REAL ESTATE TRUST,NXDT,President,0001356115,NXDT-PA,,,2022-09-30
0001437749-22-023311,2054092,Common Stock,,239078.59,,,I,,See Footnote,F4,30-SEP-2022,29-SEP-2022,,,,,,4,1356115,NEXPOINT DIVERSIFIED REAL ESTATE TRUST,NXDT,President,0001356115,NXDT-PA,,,2022-09-30
0001213900-22-060698,2053936,Class A Common Stock,,914143.0,F2,,I,,By Sponsor,F2,30-SEP-2022,15-JUN-2022,,,0,,,4,1698113,"PARTS iD, Inc.",ID,Exhibit 24.1 - Power of Attorney,0001698113,,,,2022-09-30
0001213900-22-060693,2053938,Class A Common Stock,,14240187.0,F2,,I,,By Onyx Enterprises Canada Inc.,,30-SEP-2022,15-JUN-2022,,,0,,,4,1698113,"PARTS iD, Inc.",ID,Exhibit 24.1 - Power of Attorney,0001698113,,,,2022-09-30
0001209191-22-051640,2053990,Class A Ordinary Shares,,58200.0,,,I,,By Fernandez 2007 Children's Trust,,30-SEP-2022,30-SEP-2022,,,0,,,4,1802768,Royalty Pharma plc,RPRX,,0001802768,RPRX,,,2022-09-30
0001213900-22-060692,2053899,Class A Common Stock,,914143.0,,,I,,By Sponsor,F2,30-SEP-2022,15-JUN-2022,,,0,,,4,1698113,"PARTS iD, Inc.",ID,Exhibit 24.1 - Power of Attorney,0001698113,,,,2022-09-30
0001209191-22-051639,2054084,Common Stock,,109143.0,,,D,,,,30-SEP-2022,30-SEP-2022,,,0,,,4,1108109,COMMUNITY HEALTH SYSTEMS INC,CYH,,0001108109,CYH,,,2022-09-30
0000016732-22-000116,2054040,Common Stock,,180000.0,,,I,,Spousal Trust,F4,30-SEP-2022,29-SEP-2022,,,0,,,4,16732,CAMPBELL SOUP CO,CPB,,0000016732,CPB,,,2022-09-30
0000016732-22-000116,2054039,Common Stock,,488.0,,,I,,Family management company,F3,30-SEP-2022,29-SEP-2022,,,0,,,4,16732,CAMPBELL SOUP CO,CPB,,0000016732,CPB,,,2022-09-30
0000016732-22-000116,2054037,Common Stock,,1187091.0,,,I,,Family investment partnership,F1,30-SEP-2022,29-SEP-2022,,,0,,,4,16732,CAMPBELL SOUP CO,CPB,,0000016732,CPB,,,2022-09-30
0000016732-22-000116,2054038,Common Stock,,2857.0,,,I,,Family management company,F2,30-SEP-2022,29-SEP-2022,,,0,,,4,16732,CAMPBELL SOUP CO,CPB,,0000016732,CPB,,,2022-09-30
0001209191-22-051637,2053988,Class A Ordinary Shares,,25030.0,,,I,,By IRA,,30-SEP-2022,28-SEP-2022,,,0,,,4,1802768,Royalty Pharma plc,RPRX,,0001802768,RPRX,,,2022-09-30
0001819848-22-000145,2053902,Common Stock,,34048145.0,,,I,,By JoeBen Bevirt 2020 Descendants Trust,F4,30-SEP-2022,28-SEP-2022,,,0,,,4,1819848,"Joby Aviation, Inc.",JOBY,,0001819848,JOBY-WT,,,2022-09-30
0001819848-22-000145,2053903,Common Stock,,5000000.0,,,I,,By JoeBen Bevirt 2021 GRAT Trust,F5,30-SEP-2022,28-SEP-2022,,,0,,,4,1819848,"Joby Aviation, Inc.",JOBY,,0001819848,JOBY-WT,,,2022-09-30
0001819848-22-000145,2053907,Common Stock,,155737.0,,,I,,,,30-SEP-2022,28-SEP-2022,,,0,,,4,1819848,"Joby Aviation, Inc.",JOBY,,0001819848,JOBY-WT,,,2022-09-30
0001819848-22-000145,2053905,Common Stock,,207484.0,,,D,,By Spouse,F7,30-SEP-2022,28-SEP-2022,,,0,,,4,1819848,"Joby Aviation, Inc.",JOBY,,0001819848,JOBY-WT,,,2022-09-30
