ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0001179110-20-012357,255340,Common Stock,,72088.0,,,,I,,By trust,,31-DEC-2020,29-DEC-2020,,,0,,,4,1160791,GOLD RESOURCE CORP,GORO,,0001160791,GORO,,,2020-12-31
0001179110-20-012357,255339,Common Stock,,107575.0,,,,I,,By spouse,,31-DEC-2020,29-DEC-2020,,,0,,,4,1160791,GOLD RESOURCE CORP,GORO,,0001160791,GORO,,,2020-12-31
0001179110-20-012357,255341,Common Stock,,71450.0,,,,I,,By trust,,31-DEC-2020,29-DEC-2020,,,0,,,4,1160791,GOLD RESOURCE CORP,GORO,,0001160791,GORO,,,2020-12-31
0001179110-20-012357,255342,Common Stock,,300000.0,,,,I,,By LLC,,31-DEC-2020,29-DEC-2020,,,0,,,4,1160791,GOLD RESOURCE CORP,GORO,,0001160791,GORO,,,2020-12-31
0001104659-20-141059,195492,Common Stock,F6,2881899.0,,,,I,,See Footnote,"F2, F15, F1",31-DEC-2020,29-DEC-2020,,,0,,,4,1620179,"Exela Technologies, Inc.",XELA,Exhibit List: Exhibit 99.1 - Joint Filers' Names and Addresses Exhibit 99.2 - Joint Filers' Signatures,0001620179,,,,2020-12-31
0001104659-20-141059,195491,Common Stock,F5,14138818.0,,,,I,,See Footnote,"F2, F15, F1",31-DEC-2020,29-DEC-2020,,,0,,,4,1620179,"Exela Technologies, Inc.",XELA,Exhibit List: Exhibit 99.1 - Joint Filers' Names and Addresses Exhibit 99.2 - Joint Filers' Signatures,0001620179,,,,2020-12-31
0001104659-20-141059,195490,Common Stock,F4,17136369.0,,,,I,,See Footnote,"F2, F15, F1",31-DEC-2020,29-DEC-2020,,,0,,,4,1620179,"Exela Technologies, Inc.",XELA,Exhibit List: Exhibit 99.1 - Joint Filers' Names and Addresses Exhibit 99.2 - Joint Filers' Signatures,0001620179,,,,2020-12-31
0001104659-20-141059,195493,Common Stock,F7,46500.0,,,,I,,See Footnote,"F2, F15, F1",31-DEC-2020,29-DEC-2020,,,0,,,4,1620179,"Exela Technologies, Inc.",XELA,Exhibit List: Exhibit 99.1 - Joint Filers' Names and Addresses Exhibit 99.2 - Joint Filers' Signatures,0001620179,,,,2020-12-31
0001127602-20-032640,213203,Common Stock,,7682.43,,,,I,,By 401(k) Plan,F3,31-DEC-2020,29-DEC-2020,,,,,,4,36047,"CORELOGIC, INC.",CLGX,,0000036047,,,,2020-12-31
0001567619-20-021777,253840,Class A Common Stock,F1,4500000.0,,,,I,,See footnote,F2,31-DEC-2020,02-OCT-2020,,0.0,,,,3,1810739,"Radius Global Infrastructure, Inc.",RADI,"The Power of Attorney granted by Daniel S. Loeb in favor of James P. Gallagher, William Song and Joshua L. Targoff, dated February 9, 2011, was previously filed with the SEC on February 11, 2011 as Exhibit 99.2 to Schedule 13G filed by Third Point LLC and Daniel S. Loeb with respect to Citadel Broadcasting Corporation and is incorporated herein by reference.",0001810739,,,,2020-12-31
0001209191-20-065742,153450,Ordinary Shares,,1180092.0,,,,I,,See footnote.,"F2, F3, F4, F9",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 2 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065742,153445,Ordinary Shares,,33531873.0,,,,I,,See footnote.,"F2, F3, F4, F1",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 2 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065742,153448,Ordinary Shares,,27901017.0,,,,I,,See footnote.,"F2, F3, F7, F4",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 2 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065742,153449,Ordinary Shares,,120338.0,,,,I,,See footnote.,"F2, F3, F4, F8",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 2 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065742,153446,Ordinary Shares,,46939141.0,,,,I,,See footnote.,"F2, F3, F5, F4",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 2 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065742,153447,Ordinary Shares,,6191971.0,,,,I,,See footnote.,"F6, F2, F3, F4",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 2 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0000946724-20-000094,206244,Common Stock,,901000.0,,,,D,,,,31-DEC-2020,29-DEC-2020,,,0,,,4,874866,CORVEL CORP,CRVL,,0000874866,CRVL,,,2020-12-31
0001209191-20-065740,149630,Common Stock,,5112.0,,,,I,F3,See Footnote Number 3.,,31-DEC-2020,30-DEC-2020,,,0,,,4,101984,UNIVERSAL ELECTRONICS INC,UEIC,,0000101984,UEIC,,,2020-12-31
0001209191-20-065739,176433,Ordinary Shares,,120338.0,,,,I,,See footnote.,"F2, F3, F4, F8",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 1 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065739,176434,Ordinary Shares,,1180092.0,,,,I,,See footnote.,"F2, F3, F4, F9",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 1 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065739,176432,Ordinary Shares,,27901017.0,,,,I,,See footnote.,"F2, F3, F7, F4",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 1 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065739,176431,Ordinary Shares,,6191971.0,,,,I,,See footnote.,"F6, F2, F3, F4",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 1 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065739,176430,Ordinary Shares,,46939141.0,,,,I,,See footnote.,"F2, F3, F5, F4",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 1 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065739,176429,Ordinary Shares,,33531873.0,,,,I,,See footnote.,"F2, F3, F4, F1",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting persons shall be subject to Section 16 of the Securities Exchange Act of 1934.  Mr. Usama Cortas is a member of the board of directors of the Issuer, and a partner of LGP, which is an affiliate of the other reporting persons (the ""LGP Entities"").  Accordingly, Mr. Cortas may be determined to represent the interests of the LGP Entities on the board of directors of the Issuer, and accordingly, the LGP Entities may be deemed to be a director for purposes of Section 16 of the Securities Exchange Act of 1934, as amended.  Form 1 of 2.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001209191-20-065734,253878,Ordinary Shares,,115864432.0,,,,I,,See footnote.,"F2, F3, F1",31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"This report is a voluntary filing under Section 16 of the Securities Exchange Act of 1934, as amended, as the Issuer qualifies as a foreign private issuer under the rules of the Securities Exchange Commission until December 31, 2020, after which the reporting person shall be subject to Section 16 of the Securities Exchange Act of 1934.  Exhibit 24 - Power of Attorney",0001764046,CLVT,,,2020-12-31
0001415889-20-003073,162068,Common shares without par value,,65454.0,,,,D,,,,31-DEC-2020,21-DEC-2020,,,,,,4,1800,ABBOTT LABORATORIES,ABT,,0000001800,ABT,,,2020-12-31
0001209191-20-065730,233059,Common Stock,,12038.0,,,,I,,Held in Methode 401(k) Plan,,31-DEC-2020,30-DEC-2020,,,0,,,4,65270,METHODE ELECTRONICS INC,MEI,,0000065270,MEI,,,2020-12-31
0001708138-20-000118,153976,Common Stock,,5821.0,,,,I,,By 401(k) Plan,,31-DEC-2020,30-DEC-2020,,,0,,,4,872589,"REGENERON PHARMACEUTICALS, INC.",REGN,,0000872589,REGN,,,2020-12-31
0001708138-20-000118,153977,Common Stock,,376861.0,,,,I,,by 2019 GRAT,,31-DEC-2020,30-DEC-2020,,,0,,,4,872589,"REGENERON PHARMACEUTICALS, INC.",REGN,,0000872589,REGN,,,2020-12-31
0001209191-20-065728,160029,Common Stock,,1248382.0,,,,D,,,,31-DEC-2020,30-DEC-2020,,,0,,,4,65270,METHODE ELECTRONICS INC,MEI,,0000065270,MEI,,,2020-12-31
0001085535-20-000004,247899,Common Stock,,135000.0,,,,I,,"By Stupp Bros, Inc.",,31-DEC-2020,29-DEC-2020,,,0,,,4,701288,ATRION CORP,ATRI,,0000701288,,,,2020-12-31
0001085535-20-000004,247898,Common Stock,,22330.0,,,,I,,By Family Trust,,31-DEC-2020,29-DEC-2020,,,0,,,4,701288,ATRION CORP,ATRI,,0000701288,,,,2020-12-31
0001209191-20-065706,160887,Class A Common Stock,,159242.0,,,,D,,,,31-DEC-2020,29-DEC-2020,,,0,,,4,1384905,"RingCentral, Inc.",RNG,,0001384905,RNG,,,2020-12-31
0001495231-20-000158,265734,Common Stock,,3.0,,,,I,,By Spouse,,31-DEC-2020,31-DEC-2020,,,0,,,4,1495231,"IZEA Worldwide, Inc.",IZEA,,0001495231,IZEA,,,2020-12-31
0001495231-20-000158,265733,Common Stock,,13127.0,,,,I,,By Dogfish Ventures LLLP,F1,31-DEC-2020,31-DEC-2020,,,0,,,4,1495231,"IZEA Worldwide, Inc.",IZEA,,0001495231,IZEA,,,2020-12-31
0001482512-20-000139,181687,"Common Stock, par value $0.01",,161850.0,,,,I,,By Coleman 2012 Gift Trust,F1,31-DEC-2020,29-DEC-2020,,,0,,,4,1482512,"Hudson Pacific Properties, Inc.",HPP,,0001482512,HPP-PC,,,2020-12-31
0001764046-20-000139,198179,Ordinary Shares,,3290826.0,,,,D,,,,31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"Clarivate Plc currently qualifies as a foreign private issuer (""FPI"") and the directors, officers and shareholders of Clarivate Plc are currently exempt from Section 16 of the Securities Exchange Act of 1934 pursuant to Rule 3a12-3(b) thereunder.  As such, this is an informational and voluntary report only, which shall not be deemed an admission that the filing person is required to report beneficial ownership of and transactions in Clarivate Plc securities, or that the filing person is subject to any liabilities or duties under Section 16.  Clarivate Plc anticipates that it will no longer retain FPI status after December 31, 2020.",0001764046,CLVT,,,2020-12-31
0001764046-20-000138,177349,Ordinary Shares,,1000000.0,,,,I,,,,31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"Clarivate Plc currently qualifies as a foreign private issuer (""FPI"") and the directors, officers and shareholders of Clarivate Plc are currently exempt from Section 16 of the Securities Exchange Act of 1934 pursuant to Rule 3a12-3(b) thereunder.  As such, this is an informational and voluntary report only, which shall not be deemed an admission that the filing person is required to report beneficial ownership of and transactions in Clarivate Plc securities, or that the filing person is subject to any liabilities or duties under Section 16.  Clarivate Plc anticipates that it will no longer retain FPI status after December 31, 2020.",0001764046,CLVT,,,2020-12-31
0001764046-20-000138,177348,Ordinary Shares,,4267764.0,,,,D,,"By JMJS Group II, LLLP, an affiliate of Mr. Stead",,31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"Clarivate Plc currently qualifies as a foreign private issuer (""FPI"") and the directors, officers and shareholders of Clarivate Plc are currently exempt from Section 16 of the Securities Exchange Act of 1934 pursuant to Rule 3a12-3(b) thereunder.  As such, this is an informational and voluntary report only, which shall not be deemed an admission that the filing person is required to report beneficial ownership of and transactions in Clarivate Plc securities, or that the filing person is subject to any liabilities or duties under Section 16.  Clarivate Plc anticipates that it will no longer retain FPI status after December 31, 2020.",0001764046,CLVT,,,2020-12-31
0001437749-20-026227,259938,Common Stock,,30000.0,,,,I,,,,31-DEC-2020,11-NOV-2020,,,,,,4,1464343,Atlanticus Holdings Corp,ATLC,,0001464343,ATLCZ,,,2020-12-31
0001437749-20-026227,259937,Common Stock,,475716.0,,,,D,,Spouse,,31-DEC-2020,11-NOV-2020,,,,,,4,1464343,Atlanticus Holdings Corp,ATLC,,0001464343,ATLCZ,,,2020-12-31
0001764046-20-000137,152679,Ordinary Shares,,33175.0,,,,D,,,,31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"Clarivate Plc currently qualifies as a foreign private issuer (""FPI"") and the directors, officers and shareholders of Clarivate Plc are currently exempt from Section 16 of the Securities Exchange Act of 1934 pursuant to Rule 3a12-3(b) thereunder.  As such, this is an informational and voluntary report only, which shall not be deemed an admission that the filing person is required to report beneficial ownership of and transactions in Clarivate Plc securities, or that the filing person is subject to any liabilities or duties under Section 16.  Clarivate Plc anticipates that it will no longer retain FPI status after December 31, 2020.",0001764046,CLVT,,,2020-12-31
0001474506-20-000311,148001,Common Stock,,3100.0,,,,I,,See footnote,F3,31-DEC-2020,30-SEP-2020,,,0,0.0,0.0,5,1616741,"PATRIOT TRANSPORTATION HOLDING, INC.",PATI,,0001616741,,,,2020-12-31
0001474506-20-000311,148000,Common Stock,,100.0,,,,I,,Held by wife,,31-DEC-2020,30-SEP-2020,,,0,0.0,0.0,5,1616741,"PATRIOT TRANSPORTATION HOLDING, INC.",PATI,,0001616741,,,,2020-12-31
0001764046-20-000135,259908,Ordinary Shares,,129139.0,,,,I,,,,31-DEC-2020,30-DEC-2020,,0.0,,,,3,1764046,CLARIVATE Plc,CCC,"Clarivate Plc currently qualifies as a foreign private issuer (""FPI"") and the directors, officers and shareholders of Clarivate Plc are currently exempt from Section 16 of the Securities Exchange Act of 1934 pursuant to Rule 3a12-3(b) thereunder.  As such, this is an informational and voluntary report only, which shall not be deemed an admission that the filing person is required to report beneficial ownership of and transactions in Clarivate Plc securities, or that the filing person is subject to any liabilities or duties under Section 16.  Clarivate Plc anticipates that it will no longer retain FPI status after December 31, 2020.",0001764046,CLVT,,,2020-12-31
