ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0001562180-19-006295,229247,Class A Common Stock,,,3499324.0,,,,I,,By Atsinger Family Trust,F3,31-DEC-2019,30-DEC-2019,,,false,,,4,1050606,"SALEM MEDIA GROUP, INC. /DE/",SALM,,0001050606,SALM,,,2019-12-31
0000899243-19-030277,137638,"Common Stock, par value $.01 per share",,,30808.0,,,,I,,Held by the reporting person's Amazon.com 401(k) plan account,,31-DEC-2019,27-DEC-2019,,,0,,,4,1018724,AMAZON COM INC,AMZN,,0001018724,AMZN,Consumer Cyclical,Internet Retail,2019-12-31
0000899243-19-030277,137637,"Common Stock, par value $.01 per share",,,10000.0,,,,D,,In trust,,31-DEC-2019,27-DEC-2019,,,0,,,4,1018724,AMAZON COM INC,AMZN,,0001018724,AMZN,Consumer Cyclical,Internet Retail,2019-12-31
0000899243-19-030277,137639,"Common Stock, par value $.01 per share",,,535.96,,,,I,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,1018724,AMAZON COM INC,AMZN,,0001018724,AMZN,Consumer Cyclical,Internet Retail,2019-12-31
0001104659-19-077374,118572,"Common Stock, par value $0.50 per share",,,238038.0,F2,,,I,,Ned L. Sherwood Revocable Trust,,31-DEC-2019,27-DEC-2019,,,0,,,4,10048,BARNWELL INDUSTRIES INC,BRN,,0000010048,BRN,,,2019-12-31
0001437749-19-025059,162358,Common Stock,,,34962.0,,,,I,F3,See footnote,,31-DEC-2019,27-DEC-2019,,,,,,4,1158895,LEMAITRE VASCULAR INC,LMAT,,0001158895,LMAT,,,2019-12-31
0001209191-19-062313,124813,Common Shares,,,56107.0,,,,D,,,,31-DEC-2019,31-DEC-2019,,,0,,,4,1092289,TRANSATLANTIC PETROLEUM LTD.,TAT,,0001092289,,,,2019-12-31
0001209191-19-062310,214044,Common Shares,,,455826.0,"F3, F4",,,I,,By ANBE Holdings L.P.,"F3, F4",31-DEC-2019,31-DEC-2019,,,0,,,4,1092289,TRANSATLANTIC PETROLEUM LTD.,TAT,,0001092289,,,,2019-12-31
0001209191-19-062310,214045,Common Shares,,,8616368.0,,,,D,,,,31-DEC-2019,31-DEC-2019,,,0,,,4,1092289,TRANSATLANTIC PETROLEUM LTD.,TAT,,0001092289,,,,2019-12-31
0001229384-19-000059,218718,Class A Common Stock,,,33998.0,,,,I,,See Footnote,F6,31-DEC-2019,22-MAR-2019,,,,,,4,922864,APARTMENT INVESTMENT & MANAGEMENT CO,AIV,The sales reported on this Form 4 were made to provide for tax planning and to fund charitable commitments.,0000922864,AIV,,,2019-12-31
0001140361-19-023531,254105,Common Stock,,,13006776.0,,,,I,,See Footnotes,"F2, F6, F5, F7, F1",31-DEC-2019,30-DEC-2019,,0.0,,,,3,933136,Mr. Cooper Group Inc.,COOP,Exhibit List: Exhibit 24 - Power of Attorney.,0000933136,COOP,,,2019-12-31
0001140361-19-023531,254106,Common Stock,,,1766468.0,,,,I,,See Footnotes,"F6, F3, F5, F7, F1",31-DEC-2019,30-DEC-2019,,0.0,,,,3,933136,Mr. Cooper Group Inc.,COOP,Exhibit List: Exhibit 24 - Power of Attorney.,0000933136,COOP,,,2019-12-31
0001104485-19-000197,128134,Common Stock,,,50000.0,,,,I,,By IRA,,31-DEC-2019,31-DEC-2019,,,0,,,4,1104485,"NORTHERN OIL & GAS, INC.",N O G,,0001104485,NOG,,,2019-12-31
0001104485-19-000194,203548,Common Stock,,,80000.0,,,,I,,Held by Life Time Fitness 401(k) plan,,31-DEC-2019,31-DEC-2019,,,0,,,4,1104485,"NORTHERN OIL & GAS, INC.",N O G,,0001104485,NOG,,,2019-12-31
0001209191-19-062302,117605,Common Stock,,,7226.0,,,,D,F2,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062302,117606,Common Stock,,,3610.0,,,,D,F3,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062302,117609,Common Stock,,,949.84,,,,D,F5,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062302,117608,Common Stock,,,3472.0,,,,D,F4,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062302,117607,Common Stock,,,31650.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062301,214395,Common Stock,,,5210.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062301,214396,Common Stock,,,5059.0,,,,D,F2,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062301,214397,Common Stock,,,827.0,,,,D,F3,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062301,214398,Common Stock,,,339.0,,,,D,F4,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001179110-19-013206,124283,COMMON STOCK,,,24362.0,,,,I,,HELD BY WIFE,,31-DEC-2019,30-DEC-2019,,,0,,,4,315709,INTERNATIONAL BANCSHARES CORP,IBOC,,0000315709,IBOC,,,2019-12-31
0001179110-19-013206,124284,COMMON STOCK,,,429763.0,,,,I,,HELD IN PARTNERSHIP,,31-DEC-2019,30-DEC-2019,,,0,,,4,315709,INTERNATIONAL BANCSHARES CORP,IBOC,,0000315709,IBOC,,,2019-12-31
0001209191-19-062300,263074,Common Stock,,,63628.0,,,,D,,"Held by Sherwood Partners, Ltd, family partnership",,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062300,263075,Common Stock,,,21915.0,,,,D,F2,Held by Spouse in Trust,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062300,263076,Common Stock,,,30508.55,,,,D,F3,Held by Spouse as Custodian for son,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062300,263080,Common Stock,,,280.0,,,,I,,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062300,263078,Common Stock,,,224356.0,,,,I,,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062300,263079,Common Stock,,,31282.0,,,,I,,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062300,263077,Common Stock,,,18104.0,,,,D,F4,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062299,212797,Common Stock,,,4336.0,,,,D,F2,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062299,212799,Common Stock,,,30560.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062299,212798,Common Stock,,,1951.0,,,,D,F3,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062298,265477,Common Stock,,,5420.0,,,,D,F2,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062298,265478,Common Stock,,,2927.0,,,,D,F3,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001209191-19-062298,265479,Common Stock,,,35847.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,0,,,4,730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,,0000730708,SBCF,,,2019-12-31
0001225208-19-016132,141111,Common Stock,,,10814.0,,,,I,,As A Trustee/Mills Bee Lane Fndtn,,31-DEC-2019,12-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,Gift/Donation TUW,0001007273,BKSC,,,2019-12-31
0001225208-19-016132,141112,Common Stock,,,44653.33,,,,I,,By ESOP,,31-DEC-2019,12-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,Gift/Donation TUW,0001007273,BKSC,,,2019-12-31
0001225208-19-016132,141113,Common Stock,,,14040.0,,,,I,,By Spouse,,31-DEC-2019,12-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,Gift/Donation TUW,0001007273,BKSC,,,2019-12-31
0001225208-19-016131,231021,Common Stock,,,10814.0,,,,I,,As A Trustee/Mills Bee Lane Fndtn,,31-DEC-2019,09-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,,0001007273,BKSC,,,2019-12-31
0001225208-19-016131,231022,Common Stock,,,3452.0,,,,I,,As Co-Trustee/HCLjr Trust,,31-DEC-2019,09-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,,0001007273,BKSC,,,2019-12-31
0001225208-19-016131,231026,Common Stock,,,27735.0,,,,I,,CoTrustee Holcombe Trust,,31-DEC-2019,09-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,,0001007273,BKSC,,,2019-12-31
0001225208-19-016131,231024,Common Stock,,,1608.0,,,,I,,By Wife,,31-DEC-2019,09-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,,0001007273,BKSC,,,2019-12-31
0001225208-19-016131,231025,Common Stock,,,2817.0,,,,I,,By Wife/IRA,,31-DEC-2019,09-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,,0001007273,BKSC,,,2019-12-31
0001225208-19-016131,231023,Common Stock,,,1650.0,,,,I,,By Spouse,,31-DEC-2019,09-DEC-2019,,,,,,4,1007273,BANK OF SOUTH CAROLINA CORP,BKSC,,0001007273,BKSC,,,2019-12-31
0001209191-19-062297,232629,Common Shares,,,5419230.0,,,,I,,See Footnote,F2,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001209191-19-062296,225976,Common Shares,,,22000.0,,,,I,,By spouse,,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001209191-19-062295,204498,Common Shares,,,779090.0,,,,I,,See Footnote,F2,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001209191-19-062293,131274,Common Shares,,,854570.0,,,,I,,By LLC,F3,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001209191-19-062293,131273,Common Shares,,,461636.62,,,,I,,By LLC,F2,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001628280-19-015411,162235,Common Stock,,,100.0,,,,I,,By wife,,31-DEC-2019,28-DEC-2019,,,0,,,4,1337619,"ENVESTNET, INC.",ENV,*President and Chief Executive of Envestnet Wealth Solutions,0001337619,,,,2019-12-31
0001628280-19-015407,138794,Common Stock,,,42.0,,,,I,,By Wife,,31-DEC-2019,28-DEC-2019,,,0,,,4,1337619,"ENVESTNET, INC.",ENV,,0001337619,,,,2019-12-31
0001127602-19-035996,120034,Common Stock,,,1415891131.0,,,,I,F2,By Limited Liability Company,,31-DEC-2019,27-DEC-2019,,,,,,4,104169,Walmart Inc.,WMT,,0000104169,WMT,Consumer Defensive,Discount Stores,2019-12-31
0001127602-19-035996,120035,Common Stock,,,4155600.0,,,,I,F3,By Trust,,31-DEC-2019,27-DEC-2019,,,,,,4,104169,Walmart Inc.,WMT,,0000104169,WMT,Consumer Defensive,Discount Stores,2019-12-31
0001628280-19-015405,267008,Common Stock,,,136.0,,,,I,,By Trust for child,F2,31-DEC-2019,28-DEC-2019,,,0,,,4,1337619,"ENVESTNET, INC.",ENV,,0001337619,,,,2019-12-31
0001628280-19-015405,267009,Common Stock,,,136.0,,,,I,,By Trust for child,F2,31-DEC-2019,28-DEC-2019,,,0,,,4,1337619,"ENVESTNET, INC.",ENV,,0001337619,,,,2019-12-31
0001628280-19-015404,186647,Common Stock,,,13938.0,,,,I,,See footnote,F2,31-DEC-2019,28-DEC-2019,,,0,,,4,1337619,"ENVESTNET, INC.",ENV,,0001337619,,,,2019-12-31
0001209191-19-062284,201906,Common Shares,,,114862.0,,,,I,,By GRAT,F3,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001209191-19-062284,201905,Common Shares,,,75678.0,,,,I,,See Footnote,F2,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001628280-19-015403,235954,Common Stock,,,26944.43,,,,D,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,1336920,"Leidos Holdings, Inc.",LDOS,,0001336920,LDOS,,,2019-12-31
0001209191-19-062277,179233,Common Shares,,,115379.0,F2,,,I,,See Footnote,F3,31-DEC-2019,29-DEC-2019,,,0,,,4,1618756,Restaurant Brands International Inc.,QSR,,0001618756,QSR,,,2019-12-31
0001628280-19-015401,184259,Common Stock,,,17457.0,,,,D,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,1336920,"Leidos Holdings, Inc.",LDOS,,0001336920,LDOS,,,2019-12-31
0001628280-19-015398,241753,Common Stock,,,192062.18,,,,D,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,1336920,"Leidos Holdings, Inc.",LDOS,,0001336920,LDOS,,,2019-12-31
0001628280-19-015393,227584,Common Stock,,,3359.0,,,,D,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,1336920,"Leidos Holdings, Inc.",LDOS,,0001336920,LDOS,,,2019-12-31
0001628280-19-015389,128081,Common Stock,,,2000.0,,,,D,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,1336920,"Leidos Holdings, Inc.",LDOS,,0001336920,LDOS,,,2019-12-31
0001792066-19-000025,135125,Common Stock,,,474235.0,,,,I,,See footnote,F3,31-DEC-2019,30-DEC-2019,,,0,,,4,922612,SCHMITT INDUSTRIES INC,SMIT,,0000922612,,,,2019-12-31
0001567619-19-023764,186915,Common Stock,,,34001.0,,,,I,,See footnotes,"F10, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186916,Common Stock,,,450.0,,,,I,,See footnotes,"F11, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186917,Common Stock,,,1219288.0,,,,I,,See footnotes,"F1, F12",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186918,Common Stock,,,7591272.0,,,,I,,See footnotes,"F1, F13",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186913,Common Stock,,,19267.0,,,,I,,See footnotes,"F8, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186920,Common Stock,,,336149.0,,,,I,,See footnotes,"F15, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186911,Common Stock,,,8483.0,,,,I,,See footnotes,"F6, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186912,Common Stock,,,3025904.0,,,,I,,See footnotes,"F7, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186914,Common Stock,,,3215.0,,,,I,,See footnotes,"F9, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0001567619-19-023764,186919,Common Stock,,,1538335.0,,,,I,,See footnotes,"F14, F1",31-DEC-2019,30-DEC-2019,,,0,,,4,1322439,Eagle Bulk Shipping Inc.,EGLE,,0001322439,,,,2019-12-31
0000028917-19-000500,208944,Common Class A - Retirement Plan,,,4511.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0001628280-19-015388,207084,Common Stock,,,69960.0,,,,D,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,1336920,"Leidos Holdings, Inc.",LDOS,,0001336920,LDOS,,,2019-12-31
0000028917-19-000499,234966,Common Class A - Retirement Plan,,,6938.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0001126328-19-000277,251174,Common Stock,,,75343.0,,,,D,,,,31-DEC-2019,27-DEC-2019,,,,,,4,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,,0001126328,PFG,,,2019-12-31
0000028917-19-000498,227366,Common Class A - Retirement Plan,,,6745.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000028917-19-000497,242575,Common Class A - Retirement Plan,,,3594.0,,,,D,,See Footnote,F2,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000028917-19-000497,242576,Common Class A,,,6303.0,F2,,,I,,See Footnote,F1,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000028917-19-000497,242577,Common Class A,,,38423.0,F1,,,I,,,,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000930420-19-000315,128655,Common Stock,,,845789.0,,,,I,,By: Revocable Trust,F3,31-DEC-2019,27-DEC-2019,,,0,,,4,930420,KFORCE INC,KFRC,,0000930420,KFRC,,,2019-12-31
0001127602-19-035995,116634,Class B Common Stock,,,11460.0,,,,I,,by Retirement Plan,F3,31-DEC-2019,30-DEC-2019,,,,,,4,320187,"NIKE, Inc.",NKE,,0000320187,NKE,,,2019-12-31
0001126328-19-000276,196513,Common Stock,,,2801.0,,,,I,,By Spouse,,31-DEC-2019,27-DEC-2019,,,,,,4,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,,0001126328,PFG,,,2019-12-31
0001126328-19-000276,196514,Common Stock,,,500.0,,,,I,,By Immediate Family Member's IRA,,31-DEC-2019,27-DEC-2019,,,,,,4,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,,0001126328,PFG,,,2019-12-31
0000028917-19-000496,145962,Common Class A,,,250.0,F2,,,I,,,,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000028917-19-000496,145960,Common Class A,,,1820.0,F3,,,I,,See Footnote,F1,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000028917-19-000496,145959,Common Class A - Retirement Plan,,,4724.0,,,,D,,See Footnote,F3,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000028917-19-000496,145961,Common Class A,,,39383.0,F1,,,I,,See Footnote,F2,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0000028917-19-000495,210485,Common Class A - Retirement Plan,,,10425.0,,,,D,,,,31-DEC-2019,30-DEC-2019,,,,,,4,28917,"DILLARD'S, INC.",DDS,,0000028917,DDT,,,2019-12-31
0001126328-19-000274,147201,Common Stock,,,479.0,,,,I,,By 401(k) Plan,,31-DEC-2019,27-DEC-2019,,,,,,4,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,,0001126328,PFG,,,2019-12-31
0001126328-19-000274,147202,Common Stock,,,22.0,,,,I,,By Spouse,,31-DEC-2019,27-DEC-2019,,,,,,4,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,,0001126328,PFG,,,2019-12-31
0001104659-19-077320,269030,Common Stock,,,20000.0,,,,I,,By CM Irrevocable Trust,F2,31-DEC-2019,30-DEC-2019,,,0,,,4,1744659,"Akero Therapeutics, Inc.",AKRO,,0001744659,AKRO,,,2019-12-31
