ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0000899243-21-038500,1959414,Common Stock,,,1167378.0,,,I,,See footnote,F2,30-SEP-2021,30-SEP-2021,,,0,,,4,1826892,"BioAtla, Inc.",BCAB,,0001826892,BCAB,,,2021-09-30
0000899243-21-038500,1959415,Common Stock,,,217358.0,,,I,,See footnote,F3,30-SEP-2021,30-SEP-2021,,,0,,,4,1826892,"BioAtla, Inc.",BCAB,,0001826892,BCAB,,,2021-09-30
0001209191-21-058304,1959663,Common Stock,,,842.0,,,I,,By Spouse,,30-SEP-2021,28-SEP-2021,,,0,,,4,1294133,Inogen Inc,INGN,,0001294133,INGN,,,2021-09-30
0000899243-21-038495,1959932,Common stock,,,18171.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1855457,"KORE Group Holdings, Inc.",KORE,Exhibit List - Exhibit 24.1 - Power of Attorney,0001855457,KORGW,,,2021-09-30
0000899243-21-038494,1959854,Common stock,,,158804.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1855457,"KORE Group Holdings, Inc.",KORE,Exhibit List - Exhibit 24.1 - Power of Attorney,0001855457,KORGW,,,2021-09-30
0000899243-21-038490,1959823,Common stock,,,38065.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1855457,"KORE Group Holdings, Inc.",KORE,,0001855457,KORGW,,,2021-09-30
0001520006-21-000202,1959727,Common Stock,,,27175.0,,,I,,Represents shares held of record by the reporting person's Individual Retirement Account,,30-SEP-2021,29-SEP-2021,,,0,,,4,1520006,Matador Resources Co,MTDR,,0001520006,MTDR,,,2021-09-30
0000899243-21-038481,1959726,Common Stock,,,24252912.0,F1,,I,,See footnotes,"F2, F3, F4",30-SEP-2021,30-SEP-2021,,0.0,,,,3,1855457,"KORE Group Holdings, Inc.",KORE,Exhibit 24 - Power of Attorney,0001855457,KORGW,,,2021-09-30
0001520006-21-000200,1959589,Common Stock,,,5000.0,,,I,,Represents shares held of record by the reporting person's 401(k) account,,30-SEP-2021,28-SEP-2021,,,0,,,4,1520006,Matador Resources Co,MTDR,,0001520006,MTDR,,,2021-09-30
0001834606-21-000054,1959856,Class A Common Stock,,,34724.0,,,I,,,,30-SEP-2021,28-SEP-2021,,,,,,4,922864,APARTMENT INVESTMENT & MANAGEMENT CO,AIV,,0000922864,AIV,,,2021-09-30
0001834606-21-000054,1959855,Class A Common Stock,F1,,184745.0,"F2, F3, F4",,D,,See footnote,F5,30-SEP-2021,28-SEP-2021,,,,,,4,922864,APARTMENT INVESTMENT & MANAGEMENT CO,AIV,,0000922864,AIV,,,2021-09-30
0001209191-21-058296,1959895,Class A Common Stock,,,5600.0,,,D,,,,30-SEP-2021,30-SEP-2021,,,0,,,4,912603,"SCHNITZER STEEL INDUSTRIES, INC.",SCHN,,0000912603,,,,2021-09-30
0001209191-21-058296,1959894,Class A Common Stock,,,1000.0,,,I,,See Note,F3,30-SEP-2021,30-SEP-2021,,,0,,,4,912603,"SCHNITZER STEEL INDUSTRIES, INC.",SCHN,,0000912603,,,,2021-09-30
0001209191-21-058296,1959893,Class A Common Stock,,,500.0,,,I,,By Spouse,,30-SEP-2021,30-SEP-2021,,,0,,,4,912603,"SCHNITZER STEEL INDUSTRIES, INC.",SCHN,,0000912603,,,,2021-09-30
0001214659-21-009983,1959367,Common Stock,,,1658916.0,,,I,,"By Philou Ventures, LLC",F5,30-SEP-2021,29-SEP-2021,,,,,,4,896493,"Ault Global Holdings, Inc.",DPW,,0000896493,GPUS-PD,,,2021-09-30
0001214659-21-009983,1959366,Common Stock,,,69209.0,,,D,,"By Ault & Company, Inc.",F4,30-SEP-2021,29-SEP-2021,,,,,,4,896493,"Ault Global Holdings, Inc.",DPW,,0000896493,GPUS-PD,,,2021-09-30
0001214659-21-009983,1959368,Common Stock,,,3408.0,,,I,,,,30-SEP-2021,29-SEP-2021,,,,,,4,896493,"Ault Global Holdings, Inc.",DPW,,0000896493,GPUS-PD,,,2021-09-30
0000899243-21-038453,1959365,Common Stock,,,22420.0,,,D,,,,30-SEP-2021,28-SEP-2021,,,0,,,4,1777393,"ChargePoint Holdings, Inc.",CHPT,,0001777393,CHPT,,,2021-09-30
0001209191-21-058294,1959643,No securities beneficially held,,,0.0,,,D,,,,30-SEP-2021,29-SEP-2021,,0.0,,,,3,1786352,"Bill.com Holdings, Inc.",BILL,Exhibit 24 - Power of Attorney,0001786352,BILL,,,2021-09-30
0001870484-21-000021,1959603,Class A Common Stock,,,567099.0,,,I,,by The Judy K. Mencher Trust 2014,,30-SEP-2021,21-JUN-2021,,0.0,,,,3,1823878,"PLAYSTUDIOS, Inc.",MYPS,,0001823878,MYPSW,,,2021-09-30
0001493152-21-024249,1959645,Common stock,,,1459355.0,,,D,,,,30-SEP-2021,22-SEP-2021,,0.0,,,,3,1514056,"TRAQIQ, INC.",TRIQ,,0001514056,TESI,,,2021-09-30
0000899243-21-038429,1959899,Common Stock,,,962.64,,,I,,By dividend reinvestment plan,,30-SEP-2021,28-SEP-2021,,,0,,,4,1620393,"NexPoint Residential Trust, Inc.",NXRT,"Chief Financial Officer, Executive VP-Finance, Secretary and Treasurer",0001620393,NXRT,,,2021-09-30
0000899243-21-038429,1959898,Common Stock,,,18187.2,,,I,,By 401(k) plan,,30-SEP-2021,28-SEP-2021,,,0,,,4,1620393,"NexPoint Residential Trust, Inc.",NXRT,"Chief Financial Officer, Executive VP-Finance, Secretary and Treasurer",0001620393,NXRT,,,2021-09-30
0001209191-21-058286,1959821,Common Stock,,,18592833.0,,,I,,By DDFS Partnership LP,F2,30-SEP-2021,30-SEP-2021,,,0,,,4,837465,CALLAWAY GOLF CO,ELY,,0000837465,MODG,,,2021-09-30
0001104659-21-121372,1959349,Class A Common Stock,,,4036066.0,,,I,,"TCV VIII VT Master, L.P.","F2, F4",30-SEP-2021,20-SEP-2021,,0.0,,,,3,1819404,Nerdy Inc.,NRDY,"Exhibit List: Exhibit 24.1 - Statement Appointing Designated Filer and Authorized Signatories (TCV VIII VT Master, L.P. and TCV VIII Master GP, LLC); Exhibit 24.2 Power of Attorney (Christopher P. Marshall)",0001819404,NRDY,,,2021-09-30
0001104659-21-121372,1959350,Class B Common Stock,,,17000325.0,,,I,,,,30-SEP-2021,20-SEP-2021,,0.0,,,,3,1819404,Nerdy Inc.,NRDY,"Exhibit List: Exhibit 24.1 - Statement Appointing Designated Filer and Authorized Signatories (TCV VIII VT Master, L.P. and TCV VIII Master GP, LLC); Exhibit 24.2 Power of Attorney (Christopher P. Marshall)",0001819404,NRDY,,,2021-09-30
0001104659-21-121372,1959348,Class A Common Stock,,,0.0,,,D,"F2, F1","TCV VIII (A), L.P.","F3, F1",30-SEP-2021,20-SEP-2021,,0.0,,,,3,1819404,Nerdy Inc.,NRDY,"Exhibit List: Exhibit 24.1 - Statement Appointing Designated Filer and Authorized Signatories (TCV VIII VT Master, L.P. and TCV VIII Master GP, LLC); Exhibit 24.2 Power of Attorney (Christopher P. Marshall)",0001819404,NRDY,,,2021-09-30
0001104659-21-121369,1959292,Class A Common Stock,,,596320.0,F6,,D,,,,30-SEP-2021,28-SEP-2021,,,0,,,4,1698990,Magnolia Oil & Gas Corp,MGY,,0001698990,MGY,,,2021-09-30
0001072613-21-000572,1959356,Common Stock,,,1315000.0,,,I,,By Five Sterling LP,,30-SEP-2021,28-SEP-2021,,,0,,,4,887396,EMPIRE PETROLEUM CORP,EMPR,,0000887396,EP,,,2021-09-30
0001072613-21-000572,1959355,Common Stock,,,1515000.0,,,I,,By Big Red Revocable Trust,,30-SEP-2021,28-SEP-2021,,,0,,,4,887396,EMPIRE PETROLEUM CORP,EMPR,,0000887396,EP,,,2021-09-30
0001072613-21-000572,1959354,Common Stock,,,1698000.0,,,I,,By Petroleum Independent & Exploration LLC,,30-SEP-2021,28-SEP-2021,,,0,,,4,887396,EMPIRE PETROLEUM CORP,EMPR,,0000887396,EP,,,2021-09-30
0001072613-21-000572,1959357,Common Stock,,,60000.0,,,I,,By spouse,,30-SEP-2021,28-SEP-2021,,,0,,,4,887396,EMPIRE PETROLEUM CORP,EMPR,,0000887396,EP,,,2021-09-30
0001209191-21-058278,1959520,Common Stock,,,469046.0,,,I,,See footnote,F4,30-SEP-2021,28-SEP-2021,,,0,,,4,1401680,Cornerstone OnDemand Inc,CSOD,,0001401680,,,,2021-09-30
0001209191-21-058278,1959521,Common Stock,,,234252.0,,,I,,See footnote,F5,30-SEP-2021,28-SEP-2021,,,0,,,4,1401680,Cornerstone OnDemand Inc,CSOD,,0001401680,,,,2021-09-30
0001209191-21-058278,1959522,Common Stock,,,265925.0,,,I,,See footnote,F6,30-SEP-2021,28-SEP-2021,,,0,,,4,1401680,Cornerstone OnDemand Inc,CSOD,,0001401680,,,,2021-09-30
0001209191-21-058278,1959523,Common Stock,,,300000.0,,,I,,See footnote,F7,30-SEP-2021,28-SEP-2021,,,0,,,4,1401680,Cornerstone OnDemand Inc,CSOD,,0001401680,,,,2021-09-30
0001884664-21-000002,1959883,Common Stock,,,1075.0,,,D,,,,30-SEP-2021,20-SEP-2021,,0.0,,,,3,1490281,"Groupon, Inc.",GRPN,,0001490281,GRPN,,,2021-09-30
0000705432-21-000163,1959936,Common Stock,,,1802.0,,,I,,401k,,30-SEP-2021,30-SEP-2021,,,0,,,4,705432,SOUTHSIDE BANCSHARES INC,SBSI,,0000705432,SBSI,,,2021-09-30
0000705432-21-000163,1959935,Common Stock,,,845.0,,,I,,ESOP,,30-SEP-2021,30-SEP-2021,,,0,,,4,705432,SOUTHSIDE BANCSHARES INC,SBSI,,0000705432,SBSI,,,2021-09-30
0001104659-21-121342,1959619,Common Stock,,,1912500.0,"F2, F1",,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0000705432-21-000162,1959539,Common Stock,,,1205.0,,,I,,ESOP,,30-SEP-2021,30-SEP-2021,,,0,,,4,705432,SOUTHSIDE BANCSHARES INC,SBSI,,0000705432,SBSI,,,2021-09-30
0001104659-21-121341,1959462,Common Stock,,,35000.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121339,1959461,Common Stock,,,35000.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121338,1959715,Common Stock,,,35000.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121338,1959714,Common Stock,,,637500.0,F1,,I,,See footnote,F2,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121336,1959530,Common Stock,,,1912500.0,F1,,I,,See footnote,F2,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121336,1959531,Common Stock,,,35000.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121334,1959510,Common Stock,,,35000.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121332,1959466,Common Stock,,,150000.0,F1,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1860663,Monterey Bio Acquisition Corp,MTRY,See Exhibit 24.1 - Power of Attorney,0001860663,,,,2021-09-30
0001104659-21-121318,1959284,No securities are beneficially owned.,,,0.0,,,D,,,,30-SEP-2021,28-SEP-2021,,0.0,,,,3,1753706,"Whole Earth Brands, Inc.",FREE,,0001753706,,,,2021-09-30
0000899243-21-038409,1959904,No securities are beneficially owned,,,0.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1858327,"dMY Technology Group, Inc. VI",DMYS,,0001858327,,,,2021-09-30
0000899243-21-038407,1959580,No securities are beneficially owned,,,0.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1858327,"dMY Technology Group, Inc. VI",DMYS,,0001858327,,,,2021-09-30
0000899243-21-038405,1959610,No securities are beneficially owned,,,0.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1858327,"dMY Technology Group, Inc. VI",DMYS,,0001858327,,,,2021-09-30
0001209191-21-058223,1959434,Common Stock,,,33.08,,,I,,By 401(k) Plan,,30-SEP-2021,28-SEP-2021,,,0,,,4,812128,SANDERSON FARMS INC,SAFM,,0000812128,,,,2021-09-30
0001209191-21-058223,1959433,Common Stock,,,3273.03,F1,,I,,Allocated to Reporting Person's Account in Issuer ESOP,,30-SEP-2021,28-SEP-2021,,,0,,,4,812128,SANDERSON FARMS INC,SAFM,,0000812128,,,,2021-09-30
0000899243-21-038402,1959575,No securities are beneficially owned,,,0.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1858327,"dMY Technology Group, Inc. VI",DMYS,,0001858327,,,,2021-09-30
0001209191-21-058221,1959637,Common Stock,,,1367.0,,,I,,By Spouse,,30-SEP-2021,28-SEP-2021,,,0,,,4,812128,SANDERSON FARMS INC,SAFM,,0000812128,,,,2021-09-30
0000899243-21-038400,1959885,No securities are beneficially owned,,,0.0,,,D,,,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1858327,"dMY Technology Group, Inc. VI",DMYS,,0001858327,,,,2021-09-30
0001127602-21-026091,1959810,Common Stock,,,283252.0,,,I,,Beneficiary Of Trust,,30-SEP-2021,28-SEP-2021,,,,,,4,717423,MURPHY OIL CORP,MUR,,0000717423,MUR,,,2021-09-30
0001127602-21-026091,1959811,Common Stock,,,37754.0,,,I,,"Self, Trustee For My Children",,30-SEP-2021,28-SEP-2021,,,,,,4,717423,MURPHY OIL CORP,MUR,,0000717423,MUR,,,2021-09-30
0001127602-21-026091,1959812,Common Stock,,,11118.0,,,I,,Shares Held In Trust For My Children For Whom Others Are Trustee,,30-SEP-2021,28-SEP-2021,,,,,,4,717423,MURPHY OIL CORP,MUR,,0000717423,MUR,,,2021-09-30
0001884388-21-000002,1959914,Common Shares,,,598.56,,,D,,,,30-SEP-2021,30-JAN-2019,,0.0,,,,3,1687898,Versus Capital Real Assets Fund LLC,VCRRX,This filing is being made to reflect information that was inadvertently not filed within the prescribed time period and is current as of the date of the event requiring statement listed on the form.  Exhibit 24 - Power of Attorney,0001687898,VCRRX,,,2021-09-30
0001225208-21-012595,1959758,Common Stock,,,25728.0,,,D,,,,30-SEP-2021,30-SEP-2021,,,,,,4,67716,MDU RESOURCES GROUP INC,MDU,,0000067716,MDU,,,2021-09-30
0001884388-21-000001,1959559,Common Shares,,,537.06,,,D,,,,30-SEP-2021,18-DEC-2018,,0.0,,,,3,1515001,Versus Capital Multi-Manager Real Estate Income Fund LLC,VCMIX,This filing is being made to reflect information that was inadvertently not filed within the prescribed time period and is current as of the date of the event requiring statement listed on the form.  Exhibit 24 - Power of Attorney,0001515001,VCMIX,,,2021-09-30
0001209191-21-058205,1959299,Common Stock,,,500.0,,,I,,By Family Trust,,30-SEP-2021,30-SEP-2021,,0.0,,,,3,1756908,PIMCO Energy & Tactical Credit Opportunities Fund,NRGX,Exhibit List: Exhibit 24 - Power of Attorney,0001756908,PDX,,,2021-09-30
0001209191-21-058198,1959884,Class B Common Stock,,,43347.0,,,D,,,,30-SEP-2021,28-SEP-2021,,,0,,,4,920760,LENNAR CORP /NEW/,"LEN, LEN.B",,0000920760,LEN-B,,,2021-09-30
0001209191-21-058196,1959752,Common Shares,,,5100.0,,,I,,By grantor retained annuity trust,,30-SEP-2021,29-SEP-2021,,,0,,,4,108516,WORTHINGTON INDUSTRIES INC,WOR,,0000108516,WOR,,,2021-09-30
0001209191-21-058196,1959753,Common Shares,,,436.0,,,I,,By Spouse,,30-SEP-2021,29-SEP-2021,,,0,,,4,108516,WORTHINGTON INDUSTRIES INC,WOR,,0000108516,WOR,,,2021-09-30
0001214659-21-009970,1959579,Common Stock,,,6200.0,,,I,,,,30-SEP-2021,29-SEP-2021,,,,,,4,825324,Good Times Restaurants Inc.,GTIM,,0000825324,GTIM,,,2021-09-30
0001214659-21-009970,1959578,Common Stock,,,113307.0,,,D,,Shares held in spouse's IRA,,30-SEP-2021,29-SEP-2021,,,,,,4,825324,Good Times Restaurants Inc.,GTIM,,0000825324,GTIM,,,2021-09-30
0001530950-21-000300,1959680,Common Stock,,,13194.0,,,I,,By Son's Trust,,30-SEP-2021,29-SEP-2021,,,0,,,4,1530950,"Post Holdings, Inc.",POST,,0001530950,POST,,,2021-09-30
0001530950-21-000300,1959681,Common Stock,,,13194.0,,,I,,,,30-SEP-2021,29-SEP-2021,,,0,,,4,1530950,"Post Holdings, Inc.",POST,,0001530950,POST,,,2021-09-30
0001530950-21-000300,1959678,Common Stock,,,12961.0,,,I,,By Spouse,,30-SEP-2021,29-SEP-2021,,,0,,,4,1530950,"Post Holdings, Inc.",POST,,0001530950,POST,,,2021-09-30
0001530950-21-000300,1959679,Common Stock,,,90000.0,,,I,,By Daughter's Trust,,30-SEP-2021,29-SEP-2021,,,0,,,4,1530950,"Post Holdings, Inc.",POST,,0001530950,POST,,,2021-09-30
0001530950-21-000300,1959675,Common Stock,,,218304.0,,,D,,By XSIP,,30-SEP-2021,29-SEP-2021,,,0,,,4,1530950,"Post Holdings, Inc.",POST,,0001530950,POST,,,2021-09-30
0001530950-21-000300,1959676,Common Stock,,,1450.0,,,I,,By 2014 Trust,,30-SEP-2021,29-SEP-2021,,,0,,,4,1530950,"Post Holdings, Inc.",POST,,0001530950,POST,,,2021-09-30
0001530950-21-000300,1959677,Common Stock,,,8910.0,,,I,,By Spouse's Trust,,30-SEP-2021,29-SEP-2021,,,0,,,4,1530950,"Post Holdings, Inc.",POST,,0001530950,POST,,,2021-09-30
