ticker,score_date,headlines,actual_return,haiku,sonnet,opus,fwd_ret
AON,2026-06-16,"[""Aon PLC stock underperforms Monday when compared to competitors"", ""Weaker Insurance Pricing Could Be a Long-Term Headwind for Aon"", ""AON Maintained by Piper Sandler -- Price Target Lowered to $355"", ""Understanding Momentum Shifts in (AON)"", ""Oracle CEO Says Token Billing Model Helps Firms Control AI Costs. What That Actually Means for ORCL Stock.""]",-0.053763785391228065,-35.0,-25.0,-25.0,-0.053763785391228065
APA,2026-06-16,"[""APA Corp. stock underperforms Monday when compared to competitors"", ""APA slides as oil prices fall on renewed U.S.\u2013Iran ceasefire framework, pressuring energy shares"", ""APA Corp (APA) Stock Down 6.1% but Still Overvalued -- GF Score: 58/100"", ""APA (NASDAQ:APA) Shares Gap Down - Here's Why"", ""Which S&P500 stocks are gapping on Monday?"", ""APA Corporation Acquires Savant Alaska in $70 Million Deal"", ""APA Group (ASX:APA) Shares Could Be 18.4% Overvalued After Capital Allocation Reset"", ""Dockside LLC Acquires Shares of 120,426 APA Corporation $APA"", ""Stocks Rally as US-Iran Peace Deal Sinks Oil and Bond Yields"", ""Stocks Soar on US-Iran Peace Agreement""]",-0.0017512423097826057,-35.0,-52.0,-35.0,-0.0017512423097826057
APH,2026-06-16,"[""Why Amphenol (APH) Stock Is Trading Up Today"", ""Is Amphenol's Recent Stock Performance a Cause for Concern or an Opportunity"", ""Analyst Raises Amphenol (APH) Price Target Citing AI-Related Growth Opportunities"", ""Amphenol Corp (APH) Shares Surge 3.1% -- What GF Score of 94 Tel"", ""Amphenol Corp Stock (APH) Moved Up by 3.43% on Jun 15: Key Drivers Unveiled"", ""Amphenol likely raising prices due to inflation, shortages: Wedbush (APH:NYSE)"", ""Is Defense Becoming a Long-Term Growth Driver for Amphenol?"", ""Aptus Capital Advisors LLC Buys 136,163 Shares of Amphenol Corporation $APH"", ""Amphenol (APH) Implements 5% Price Increase Amid Inflation and A""]",0.04502241209742104,72.0,72.0,68.0,0.04502241209742104
APO,2026-06-16,"[""Apollo Global: Temporary SRE Headwinds Mask Long-Term Earnings Growth (NYSE:APO)"", ""Trading the Move, Not the Narrative: (APO) Edition"", ""Brown Advisory Inc. Raises Stock Position in Apollo Global Management Inc. $APO"", ""Apollo Global Management: Formation Of Fee-Generating AUM Remains Strong (NYSE:APO)"", ""Focus Partners Wealth Boosts Holdings in Apollo Global Management Inc. $APO"", ""One Credit Engine One Asset Sensitive Bank One Volatile Deal Maker"", ""Apollo Global Management Inc. $APO Stake Boosted by Mariner LLC"", ""$1 Trillion Fund Manager Picks Texas Over Florida"", ""$35B AI Infrastructure Platform Plan Affirms Broadcom Inc. (AVGO) As a Promising Growth Stock to Buy""]",-0.023613439590983342,35.0,62.0,25.0,-0.023613439590983342
ARE,2026-06-16,"[""WSJ puts Alexandria Real Estate in top 20 for future-ready talent"", ""Aecon Group (TSX:ARE) Stock After Arctic Gateway Deal A Fresh Look At Valuation"", ""Is Alexandria Real Estate Stock Underperforming the Dow?""]",-0.019899513382873792,35.0,15.0,0.0,-0.019899513382873792
ARM,2026-06-16,"[""Arm Holdings: The AI CPU Compounder Is Becoming Indispensable"", ""Arm Holdings Rose 11% Today. Here\u2019s Where the Stock Is Headed in 2026"", ""Arm Holdings plc Stock Price: ARM Stock Chart, Market Cap & News Today"", ""SpaceX becomes retail's biggest IPO trade: Chart of the Day"", ""Stocks Settle Sharply Higher as US-Iran Peace Deal Spurs Optimism"", ""Stocks Rally as US-Iran Peace Deal Sinks Oil and Bond Yields"", ""Chips Up 8.8% in One Week: 5 Semiconductor Names Breaking Into New Highs""]",0.028712733985874938,72.0,72.0,68.0,0.028712733985874938
ASML,2026-06-16,"[""ASML: Expensive, Rare, But Still Worth Buying (NASDAQ:ASML)"", ""Elon Musk Needs ASML for Terafab. You Don\u2019t Need ASML Stock in Your Portfolio."", ""Elon Musk Targets ASML Machinery For Massive Texas Chip Fabrication Plant"", ""ASML Stock at 48x Forward Earnings: The AI Bottleneck Trade Needs Proof"", ""ASML Holding (ASML) Stock Analysis: Quant"", ""Forget ASML Holding: 1 Unstoppable AI Cash-Flow Machine to Buy Hand Over Fist After the Pullback"", ""Advanced Energy (AEIS) Moves 4.6% Higher: Will This Strength Last?"", ""Chips Up 8.8% in One Week: 5 Semiconductor Names Breaking Into New Highs"", ""Mistral AI weighs new funding at $23bn valuation""]",0.06949425094300668,35.0,15.0,15.0,0.06949425094300668
ATO,2026-06-16,"[""AtoS Group SE: Revenue and Earnings Analysts Forecasts Revisions | ATO | FR001400X2S4"", ""Fatal Oak Cliff Explosion Lawsuit Could Be A Game Changer For Atmos Energy (ATO)"", ""Are You Looking for a High-Growth Dividend Stock?""]",-0.00023585771249322652,-15.0,-20.0,-15.0,-0.00023585771249322652
AVGO,2026-06-16,"[""Prediction: Can Broadcom Shares Hit $550 in 2027?"", ""What a Patient Investor Really Pays for Broadcom Stock"", ""LITE vs. AVGO: Which AI Infrastructure Stock Is the Better Pick Now?"", ""Why AI Chip Stocks NVDA, MU, AMD, INTC, and AVGO Are Rising Today \u2014 June 15, 2026"", ""Broadcom (AVGO) Stock After Record Q2 And Cautious AI Guidance Is The Valuation Gap Widening Or Closing"", ""Jim Cramer Keeps The Faith in Broadcom (AVGO)"", ""Is Broadcom Inc. (AVGO) A Good Stock To Buy Now?"", ""$35B AI Infrastructure Platform Plan Affirms Broadcom Inc. (AVGO) As a Promising Growth Stock to Buy"", ""Broadcom (AVGO) Stock Valuation After Strong Q2 AI Growth And Profit Taking"", ""Broadcom Inc Stock (AVGO) Opened Up by 3.30% on Jun 15: What Signal Does It Send?""]",0.04093338052482523,72.0,72.0,45.0,0.04093338052482523
AWK,2026-06-16,"[""Inside the summer camp putting Pennsylvania teens on water careers"", ""Do Recent Rate Wins And Upgrades Change The Bull Case For American Water Works Company (AWK)?"", ""American Water Works Funds 8% Dividend Hike Through State-Regulated Rate Increases This Year"", ""(AWK) Volatility Zones as Tactical Triggers"", ""Inflation Test For US Utilities One Growth Engine One Quiet Cash Flow"", ""Is Recent Regulatory And Infrastructure Progress Altering The Investment Case For American Water Works Company (AWK)?"", ""Are You Looking for a High-Growth Dividend Stock?""]",-0.027632933899168707,35.0,72.0,35.0,-0.027632933899168707
AZN,2026-06-16,"[""AZN Stock Quote Price and Forecast"", ""Understanding Momentum Shifts in (AZN)"", ""AstraZeneca PLC (AZN) Stock Analysis: Exploring a 25.59% Potential Upside with Strong Buy Ratings"", ""AstraZeneca says AI is raising its odds where most drugs fail"", ""EHA26: AstraZeneca battles Roche in untreated follicular lymphoma"", ""AstraZeneca's Truqap Wins FDA Nod for Prostate Cancer Indication"", ""Factbox-Global drugmakers rush to boost US presence as tariff threat looms"", ""TRUQAP Approval Adds Precision Prostate Cancer Upside To AstraZeneca Valuation""]",-0.012758177787640459,72.0,72.0,55.0,-0.012758177787640459
BA,2026-06-16,"[""Boeing (BA) Stock Is Up, What You Need To Know"", ""The Boeing Company $BA Shares Sold by Arax Advisory Partners"", ""Boeing Stock (BA) Opinions on Production Ramp and FAA Approvals"", ""Boeing Co Stock (BA) Moved Up by 5.40% on Jun 15: Key Drivers Unveiled"", ""Is Boeing Stock A Buy Now!? | Boeing (BA) Stock Analysis! | Hmp Frankland (7Dp03hE1a0)"", ""Boeing Stock Soars Today: What's Going On Behind The Scenes? - Boeing (NYSE:BA)"", ""Verition Fund Management LLC Sells 34,798 Shares of The Boeing Company $BA"", ""Boeing Stock Price Prediction 2026-2030: Can BA Reach $1000?"", ""The Boeing Company $BA Stock Holdings Raised by Pingora Partners LLC"", ""The Boeing Company Reports Surge in Deliveries in May""]",-0.02927602752336961,35.0,35.0,30.0,-0.02927602752336961
BAX,2026-06-16,"[""Baxter (BAX) Stock After Recent Rebound Is The Discount To DCF Value Warranted"", ""Baxter International (BAX) Stock Valuation Check After Recent Double Digit Gains And Ongoing Turnaround Plans"", ""Baxter International Inc. (BAX) Stock Analysis: Navigating Challenges with a Potential Upside""]",-0.039100648722300096,35.0,35.0,15.0,-0.039100648722300096
BDX,2026-06-16,"[""BofA Trims Becton Dickinson (BDX) Target as Medtech Headwinds Persist""]",-0.030655806255010142,-35.0,-35.0,-35.0,-0.030655806255010142
BETR,2026-06-16,"[""BETR Initiates Coverage On by Roth Capital -- Price Target Annou""]",-0.09811968681139824,65.0,65.0,20.0,-0.09811968681139824
BIIB,2026-06-16,"[""Biogen (BIIB) Stock After Breakthrough SMA And Lupus Updates Is A 9.4% Undervaluation Story"", ""$BIIB stock rose 2% this week. Here's what we see in our data."", ""BIIB Maintains by Mizuho -- Price Target Lowered to $221"", ""Biogen Inc. (BIIB) Stock Analysis: Navigating a 10% Upside Potential with Strategic Collaborations"", ""3 Overrated Stocks Walking a Fine Line"", ""3 Overrated  Stocks Walking a Fine Line""]",0.020960104752939995,15.0,-15.0,15.0,0.020960104752939995
BKNG,2026-06-16,"[""Why Are Booking (BKNG) Shares Soaring Today"", ""Booking Holdings (BKNG) jumps 6.5% as investors reassess travel outlook and regulatory overhang"", ""A Look at Booking Holdings Inc (BKNG) After 5.9% Gain -- GF Value $223.34 vs Price $174.64"", ""Booking Holdings Inc. stock outperforms competitors on strong trading day"", ""Why Expedia (EXPE) Stock Is Up Today"", ""Why Airbnb (ABNB) Stock Is Trading Up Today"", ""Can TTD Capitalize on Agoda's High-Intent Travel Audience Across APAC?"", ""How Booking\u2019s Charter Overhaul and AI Debate Could Reshape Booking Holdings (BKNG) Investors\u2019 Narrative"", ""How Booking won online travel & can it win AI travel?"", ""Why These 2 Hotel Stocks Are Beating Travel Peers""]",-0.04524241345899518,42.0,72.0,45.0,-0.04524241345899518
BLDR,2026-06-16,"[""Builders FirstSource, Inc. $BLDR is Mountaineer Partners Management LLC's 10th Largest Position"", ""Responsive Playbooks and the BLDR Inflection""]",-0.01790698591526915,35.0,15.0,15.0,-0.01790698591526915
BMY,2026-06-16,"[""Bristol Myers Squibb (BMY) Stock Could Be 10.7% Undervalued After Kidney Cancer Trial Expansion"", ""Bristol Myers Squibb Co. stock outperforms competitors despite losses on the day"", ""BMY Faces Headline Risk Amid Medicare Drug Price Negotiation Pro"", ""Fieldview Capital Management LLC Has $1.60 Million Stock Holdings in Bristol Myers Squibb Company $BMY"", ""Panagora Asset Management Inc. Raises Holdings in Bristol Myers Squibb Company $BMY"", ""Epoch Investment Partners Inc. Purchases 131,472 Shares of Bristol Myers Squibb Company $BMY"", ""3 Dividend Stocks to Hold for the Long Haul"", ""SCHD Now Concentrates 42 Percent of Your Money in Just 10 Stocks. Here Is Who Should Still Own It"", ""A Dramatic Shift in Fed Policy Just Unlocked a New Era for Bristol Myers Squibb"", ""Tech Shakeup on the S&P 500""]",-0.021816835585723865,25.0,15.0,20.0,-0.021816835585723865
BR,2026-06-16,"[""AI agents for bond trading: inside LTX\u2019s BondGPT upgrade"", ""Is Broadridge Financial Solutions, Inc. (BR) A Good Stock To Buy Now?"", ""How Is Broadridge Financial\u2019s Stock Performance Compared to Other Fintech Stocks?""]",-0.05323883376531924,42.0,15.0,20.0,-0.05323883376531924
BRO,2026-06-16,"[""WBD Stock Quote Price and Forecast"", ""Brown & Brown (BRO) Stock Valuation After Recent Weak Returns And Mixed Growth Metrics"", ""New program warns boards: stolen data today, quantum decryption tomorrow"", ""Q1 Earnings Highlights: Brown & Brown (NYSE:BRO) Vs The Rest Of The Insurance Brokers Stocks"", ""Is Brown & Brown, Inc. (BRO) A Good Stock To Buy Now?""]",-0.024455595742286725,15.0,15.0,5.0,-0.024455595742286725
BX,2026-06-16,"[""Blackstone\u2019s new SablePointe arm targets asset-backed corporate loans"", ""Blackstone (BX) Stock After Recent Rebound Are Current Valuations Justified"", ""Blackstone (BX) Is Up 7.5% After Deepening Nippon Life Alliance and Funding Anthropic \u2013 Has The Bull Case Changed?"", ""BX.N - | Stock Price & Latest News"", ""TPG, Ares, and Blackstone Shares Are Soaring, What You Need To Know"", ""Baron Real Estate Fund Sold Its Position in Blackstone (BX). Here\u2019s Why"", ""How Is State Street's Stock Performance Compared to Other Financial Stocks?""]",-0.036052244555651175,42.0,65.0,35.0,-0.036052244555651175
C,2026-06-16,"[""Citigroup (C) Stock Valuation After CFO Growth Outlook And Blockchain Trading Expansion"", ""Bullish Spread Targets Citigroup Stock Momentum With Limited Risk"", ""MRVL 260618 372.50C (MRVL260618C372500) Stock Options Chain | Quotes & News"", ""Barco ClickShare add-on pushes 4K video and USB2 up to 40m"", ""How the (ULV.C) price action is used to our Advantage (ULV.C:CA)"", ""Why Did ROKU, SNDK, C Stocks Hit 52-Week Highs Last Week?"", ""Citigroup: 6.3% Yielding Preferred Shares Are Interesting (NYSE:C)"", ""Silver Lake funds (NYSE: DELL) sell 62K Dell Class C shares, convert Class B"", ""Pirelli (BIT:PIRC) Stock After Formula 1 And MotoGP Deals Is The 10.7% Valuation Gap Still Attractive"", ""Silver Lake entities trim Dell (DELL) Class C stake after share conversion""]",0.018742517468532952,35.0,62.0,45.0,0.018742517468532952
CAH,2026-06-16,"[""Cardinal Health Stock: Is CAH Outperforming the Healthcare Sector?"", ""Cardinal Health Stock Rockets 11% With 5-Day Winning Streak"", ""Rare adrenal disorder study: CRENESSITY cuts hormones and steroid doses""]",-0.021868943003880096,72.0,72.0,55.0,-0.021868943003880096
CASY,2026-06-16,"[""Casey's sets plans to hold an Investor Day event with shares on a hot streak (CASY:NASDAQ)"", ""Casey\u2019s, major U.S. convenience and pizza chain, to outline 3-year plan"", ""Casey's General Stores (CASY) Plans 2026 Investor Day Amid Stron"", ""Here's Why Casey's General Stores (CASY) is a Great Momentum Stock to Buy"", ""Casey's General Stores: Stronger Execution, But Valuation Still Caps Upside (NASDAQ:CASY)"", ""Casey's General Stores, Inc. $CASY Shares Sold by Epoch Investment Partners Inc.""]",-0.038842970193164184,42.0,65.0,35.0,-0.038842970193164184
CAVA,2026-06-16,"[""Cava Group (CAVA) Stock Valuation After UBS Upgrade And Expanded Growth Targets"", ""CAVA Group (CAVA) Is Up 21.6% After Raising 2026 Restaurant Opening Targets - What's Changed"", ""Cava chief accounting officer Phillips sells $423,071 in stock."", ""CAVA (NYSE) Form 144: Artal International plans sale of 3M shares"", ""Why CAVA Stock Looks Undervalued After Its Q1 Operating Margin Snapback to 6%"", ""CAVA Stock: UBS Turns Bullish, Sees \u2018Compelling Growth Story\u2019 As Restaurant Expansion Gains Steam"", ""CAVA (NYSE: CAVA) insider disposal notice \u2014 66,478 RSUs vest 06/14/2026"", ""1 Unpopular Stock That Should Get More Attention and 2 We Find Risky"", ""Cava Group (CAVA) brokered sale notice for 6,392 RSU shares"", ""CAVA (CAVA) CAO sells 4,664 shares and exercises options""]",-0.0735395827481655,62.0,62.0,35.0,-0.0735395827481655
CBOE,2026-06-16,"[""CBOE Volatility S&P 500 Index(.VIX) Stock Price Today | Quotes & News"", ""Cboe Canada Welcomes Purpose Investments' SpaceX Yield Shares ETF Following SpaceX IPO"", ""New ETFs let traders bet 2X for or against newly public SpaceX"", ""Chip stocks surge, oil slides closer to $80 on US-Iran deal, Fox to acquire Roku"", ""SpaceX Options Launch After $1.765 Trillion IPO Valuation"", ""The First 2X SpaceX ETF Gained 56% on Day One""]",-0.03491175858758513,42.0,72.0,35.0,-0.03491175858758513
CCI,2026-06-16,"[""Crown Castle (CCI) Stock After Fiber Exit And Buyback Reset How Fair Is The New Tower Valuation"", ""Crown Castle (CCI) soars 5.8%: Is further upside left in the stock?"", ""Crown Castle Inc (CCI) Stock Down 3.7% -- Now Undervalued? GF Sc"", ""How Investors Are Reacting To Crown Castle (CCI) Fiber Exit And Debt-Focused Balance Sheet Reset"", ""Trading the Move, Not the Narrative: (CCI) Edition""]",-0.056847777861942846,15.0,35.0,15.0,-0.056847777861942846
CDNS,2026-06-16,"[""Cadence Design Systems (CDNS) Beats Stock Market Upswing: What Investors Need to Know"", ""Cadence Design Systems (NASDAQ:CDNS): A Strong Growth Stock with a Solid Technical Setup"", ""How Cadence\u2019s Expanded Intel 14A AI Collaboration Will Impact Cadence Design Systems (CDNS) Investors"", ""Cadence Design Systems, Inc. $CDNS Shares Sold by Brown Advisory Inc."", ""Why Wall Street Loves Cadence Design Systems Stock Here"", ""Is Cadence Design Systems, Inc. (CDNS) A Good Stock To Buy Now?"", ""Cadence Deal With Intel Backs Bullish Thesis on Cadence\u2019s Agentic AI"", ""Stifel Raises Price Target for Cadence Design (CDNS) Following Intel Foundry Partnership""]",0.0030682027141405873,72.0,72.0,68.0,0.0030682027141405873
